year,avgTemp,minTemp,maxTemp,rainFall,accomodation(1000),concert,culture,food,history,sport,nature,rest,shopping
2015-07-07,20.7,19.1,22.3,53.7,0.456,0.031,0.278,0.985,0.016,0.053,0.513,0.218,0.164
2015-07-08,25.8,19.9,31.6,82.1,0.591,0.004,0.177,0.984,0.024,0.106,0.823,0.217,0.149
2015-07-09,24.9,22.8,29,0,0.684,0.02,0.134,1.151,0.04,0.129,0.969,0.22,0.163
2015-07-10,23.6,22.1,25.2,0,0.892,0.01,0.176,1.5,0.05,0.148,1.11,0.319,0.171
2015-07-11,24.3,23,26.4,98.9,1.143,0.052,0.456,2.002,0.017,0.124,0.679,0.336,0.231
2015-07-12,26.5,23.8,28.7,88.7,0.861,0.061,0.4,1.747,0.028,0.055,0.472,0.34,0.246
2015-07-13,27.8,23.4,33,0,0.781,0.012,0.192,1.619,0.033,0.195,1.238,0.341,0.19
2015-07-14,26.5,24.1,29.9,0,0.793,0.02,0.209,1.499,0.042,0.199,1.219,0.29,0.162
2015-07-15,25.2,22.4,27.9,0,0.985,0.016,0.21,1.621,0.03,0.205,1.317,0.297,0.167
2015-07-16,24.8,22.1,28.6,0,1.002,0.013,0.213,1.616,0.037,0.18,1.256,0.357,0.179
2015-07-17,24.2,21.6,26.7,0,1.082,0.013,0.229,1.751,0.048,0.244,1.36,0.347,0.203
2015-07-18,25,22.8,29.2,0,1.22,0.025,0.275,2.355,0.074,0.315,1.704,0.393,0.254
2015-07-19,25.6,22.7,29.8,0,1.121,0.03,0.279,2.379,0.044,0.244,1.583,0.369,0.279
2015-07-20,24.3,22.8,27.1,0,0.961,0.017,0.26,1.819,0.051,0.249,1.301,0.362,0.193
2015-07-21,24.3,22.8,27.4,0,0.921,0.017,0.233,1.665,0.045,0.241,1.44,0.335,0.182
2015-07-22,26.5,23.7,28.2,4.6,0.702,0.029,0.334,1.571,0.038,0.136,0.959,0.325,0.239
2015-07-23,30.4,27.7,34.1,0,0.87,0.018,0.303,1.741,0.046,0.173,1.3,0.33,0.171
2015-07-24,29.5,27.2,32.5,0,0.971,0.032,0.298,1.789,0.061,0.25,1.398,0.336,0.205
2015-07-25,29.1,26.3,33.8,0,1.373,0.034,0.325,2.396,0.044,0.345,1.858,0.416,0.233
2015-07-26,27.5,25.6,29.7,0,1.234,0.042,0.421,2.441,0.069,0.321,1.619,0.493,0.235
2015-07-27,27.8,25.9,31.1,0.2,1.215,0.043,0.302,2.126,0.043,0.247,1.62,0.463,0.24
2015-07-28,27.6,25.9,30.9,0,1.239,0.031,0.404,2.278,0.046,0.314,1.867,0.486,0.205
2015-07-29,30.5,25.8,36.7,0,1.407,0.047,0.467,2.355,0.058,0.317,1.841,0.494,0.239
2015-07-30,28.1,26.5,30.4,0,1.474,0.049,0.491,2.326,0.047,0.38,1.912,0.518,0.255
2015-07-31,28.1,25.4,33.6,0,1.518,0.052,0.512,2.566,0.052,0.323,2.018,0.544,0.26
2015-08-01,27.9,24.8,30.5,0,1.707,0.065,0.51,3.009,0.086,0.435,2.277,0.603,0.3
2015-08-02,28.6,24.7,32,0,1.566,0.058,0.532,3.153,0.06,0.445,2.427,0.533,0.317
2015-08-03,28,24.9,30.6,0,1.678,0.072,0.506,3.049,0.085,0.484,2.413,0.64,0.275
2015-08-04,28.4,25.5,31.6,0,1.716,0.064,0.604,3.085,0.078,0.425,2.489,0.62,0.307
2015-08-05,28.1,25.7,30.7,0,1.671,0.046,0.557,3.038,0.073,0.428,2.306,0.631,0.272
2015-08-06,29.2,25.9,35.5,0,1.695,0.053,0.602,2.924,0.059,0.418,2.428,0.575,0.309
2015-08-07,29.7,26.9,33.8,0,1.514,0.046,0.502,2.668,0.076,0.365,2.213,0.579,0.35
2015-08-08,27.5,26.2,30.3,3.4,1.576,0.051,0.516,2.884,0.054,0.36,2.251,0.589,0.305
2015-08-09,27.8,25,30.3,0,1.584,0.047,0.49,3.089,0.058,0.382,2.005,0.463,0.276
2015-08-10,28,26.2,30.3,0,1.388,0.043,0.33,2.349,0.05,0.321,1.983,0.496,0.23
2015-08-11,27.2,23.7,30,91.8,1.301,0.041,0.486,2.281,0.052,0.289,1.502,0.462,0.266
2015-08-12,25.2,23.9,26.4,0.2,1.182,0.059,0.519,2.286,0.075,0.276,1.682,0.547,0.255
2015-08-13,27,25.2,30.2,0,1.246,0.028,0.365,2.362,0.055,0.357,1.953,0.452,0.223
2015-08-14,26.5,25.1,29.4,0,1.512,0.062,0.449,2.765,0.069,0.41,2.027,0.517,0.262
2015-08-15,27.2,23.7,31.8,0,1.551,0.059,0.458,2.909,0.08,0.451,2.088,0.469,0.273
2015-08-16,25.5,22.8,28.1,74.6,1.322,0.069,0.536,2.694,0.06,0.352,1.771,0.456,0.266
2015-08-17,25.2,22.9,27.9,3.5,1.306,0.023,0.33,2.182,0.047,0.272,1.738,0.368,0.234
2015-08-18,26.1,24.5,27.9,0,1.104,0.036,0.36,2.068,0.047,0.301,1.757,0.384,0.215
2015-08-19,25.9,24.6,28.8,1.8,1.108,0.033,0.357,2.121,0.049,0.295,1.494,0.472,0.238
2015-08-20,26,24.3,29.3,0,1.161,0.033,0.364,2.031,0.035,0.241,1.444,0.393,0.225
2015-08-21,26,24.5,28.8,20.8,1.167,0.029,0.419,1.941,0.037,0.278,1.542,0.345,0.245
2015-08-22,25.2,23.8,26.6,0,1.253,0.03,0.356,2.24,0.061,0.325,1.709,0.433,0.271
2015-08-23,25.4,23.6,27.6,0,1.165,0.019,0.344,2.424,0.043,0.34,1.758,0.409,0.215
2015-08-24,24.5,22.2,25.9,14.6,1.087,0.054,0.448,2,0.034,0.117,0.921,0.436,0.238
2015-08-25,22.8,20.4,25.2,34.1,0.96,0.043,0.371,1.992,0.051,0.142,1.224,0.421,0.207
2015-08-26,24.8,22.8,27.6,0,1.102,0.024,0.219,1.953,0.037,0.205,1.576,0.342,0.211
2015-08-27,25.5,21.6,28.6,0,1.133,0.032,0.275,1.899,0.044,0.203,1.579,0.379,0.253
2015-08-28,25.7,22.1,28.4,0.6,1.205,0.023,0.277,2.153,0.058,0.278,1.509,0.434,0.239
2015-08-29,24.8,23,27.5,0,1.278,0.026,0.291,2.39,0.074,0.301,1.67,0.401,0.282
