year,avgTemp,minTemp,maxTemp,rainFall,avgVisitor,ID,10000Visitor
2018-12-25,7.8,3.8,10.8,0,136052,20181225,13.6052
2018-12-26,8.5,6.8,9.7,0.4,134736,20181226,13.4736
2018-12-27,2.5,1.4,6.8,0,136878,20181227,13.6878
2018-12-28,1.9,0.2,3.2,1.8,142664,20181228,14.2664
2018-12-29,3.1,1.7,4.1,0.1,156198,20181229,15.6198
2018-12-30,3.1,1.9,4.1,0,164535,20181230,16.4535
2018-12-31,4.6,3.5,5.8,0,167150,20181231,16.715
2019-01-01,5.6,4.8,7,0,132360,20190101,13.236
2019-01-02,5.1,4.5,6.1,0,123428,20190102,12.3428
2019-01-03,5.1,3.5,8,0,120036,20190103,12.0036
2019-01-04,5.8,2.6,10,1.6,122280,20190104,12.228
2019-01-05,7,5.2,9,0,127988,20190105,12.7988
2019-01-06,5.7,4.5,7.7,0,123669,20190106,12.3669
2019-01-07,5.9,3.1,8.8,0,120620,20190107,12.062
2019-01-08,6.6,4.5,8.8,0,123372,20190108,12.3372
2019-01-09,4.5,2.2,5.8,0,126620,20190109,12.662
2019-01-10,6.9,5.6,7.8,0,130536,20190110,13.0536
2019-01-11,7.9,5.9,9.4,1.7,134575,20190111,13.4575
2019-01-12,8.9,8.1,10.9,2,141810,20190112,14.181
2019-01-13,7.9,6.6,10,0,140648,20190113,14.0648
2019-01-14,7.3,5.5,9.7,0,138257,20190114,13.8257
2019-01-15,7,3.6,9.9,0,140364,20190115,14.0364
2019-01-16,3.1,2,4,0,141673,20190116,14.1673
2019-01-17,5.6,3.9,6.5,0,143787,20190117,14.3787
2019-01-18,6.4,3.9,9.8,0,147284,20190118,14.7284
2019-01-19,8.9,3.6,12.6,1,158554,20190119,15.8554
2019-01-20,6.7,3.9,11.6,0,147546,20190120,14.7546
2019-01-21,6.2,3.9,8.1,0,144274,20190121,14.4274
2019-01-22,8.3,5.8,10.9,0,140896,20190122,14.0896
2019-01-23,8.6,6.7,11.9,0,144095,20190123,14.4095
2019-01-24,6.2,3.4,9.6,0,150311,20190124,15.0311
2019-01-25,5.7,3.6,10.1,0,148564,20190125,14.8564
2019-01-26,4.3,2.9,5.8,0,152117,20190126,15.2117
2019-01-27,5.6,2.4,8.5,0,149062,20190127,14.9062
2019-01-28,7.7,4.8,10.8,0,143398,20190128,14.3398
2019-01-29,6.3,2.8,9.2,0,139363,20190129,13.9363
2019-01-30,8.2,6.8,10.1,0,134858,20190130,13.4858
2019-01-31,4.9,3.3,8.2,17.9,133889,20190131,13.3889
2019-02-01,5,3.4,6.8,0,110862,20190201,11.0862
2019-02-02,9.3,5,12,0,134684,20190202,13.4684
2019-02-03,13.3,8.6,18.4,9.8,157804,20190203,15.7804
2019-02-04,6.9,4.9,9.5,0,170132,20190204,17.0132
2019-02-05,9.3,4,13.6,0,170065,20190205,17.0065
2019-02-06,11.8,9.1,15.5,0,147178,20190206,14.7178
2019-02-07,6.5,1.9,12.1,3.8,129392,20190207,12.9392
2019-02-08,3.4,1.5,5.6,0,127757,20190208,12.7757
2019-02-09,3,1.5,4.7,0,129514,20190209,12.9514
2019-02-10,3.1,2,4.9,0,125864,20190210,12.5864
2019-02-11,3.7,2.9,4.7,0,125548,20190211,12.5548
2019-02-12,5.7,1,8.7,0,128037,20190212,12.8037
2019-02-13,6.8,5.2,8.7,0,132783,20190213,13.2783
2019-02-14,5.6,4.2,8,0,135968,20190214,13.5968
2019-02-15,6.4,4.3,7.7,0,136994,20190215,13.6994
2019-02-16,4.2,3.1,7,0,140777,20190216,14.0777
2019-02-17,4.4,3.1,6.9,0,140217,20190217,14.0217
2019-02-18,7.1,2.9,9.8,2.1,136546,20190218,13.6546
2019-02-19,9.3,6.4,13,15.9,135576,20190219,13.5576
2019-02-20,6.9,4.8,9.4,0,138054,20190220,13.8054
2019-02-21,7.1,5.6,8.7,0,140472,20190221,14.0472
2019-02-22,8.3,6.5,10.9,1.6,143622,20190222,14.3622
2019-02-23,9.3,4.2,13.7,0,148782,20190223,14.8782
